	lmd		Sun_flux	Sun_phot	SunV14_phot
	um		W/m2/nm	    photon/s/m2/nm  photon/s/m2/nm
   8.9040000e-01   9.3610000e-01   4.1930951e+18   4.1930951e+02
   8.9080000e-01   9.3550000e-01   4.1922900e+18   4.1922900e+02
   8.9120000e-01   9.2940000e-01   4.1668240e+18   4.1668240e+02
   8.9160000e-01   9.2680000e-01   4.1570323e+18   4.1570323e+02
   8.9200000e-01   9.2030000e-01   4.1297293e+18   4.1297293e+02
   8.9240000e-01   9.1510000e-01   4.1082364e+18   4.1082364e+02
   8.9280000e-01   9.0180000e-01   4.0503423e+18   4.0503423e+02
   8.9320000e-01   9.0160000e-01   4.0512583e+18   4.0512583e+02
   8.9360000e-01   9.1060000e-01   4.0935313e+18   4.0935313e+02
   8.9400000e-01   9.2080000e-01   4.1412375e+18   4.1412375e+02
   8.9440000e-01   9.1060000e-01   4.0971961e+18   4.0971961e+02
   8.9480000e-01   8.9800000e-01   4.0423101e+18   4.0423101e+02
   8.9520000e-01   8.9670000e-01   4.0382626e+18   4.0382626e+02
   8.9560000e-01   9.1180000e-01   4.1080998e+18   4.1080998e+02
   8.9600000e-01   9.2310000e-01   4.1608693e+18   4.1608693e+02
   8.9640000e-01   9.2220000e-01   4.1586683e+18   4.1586683e+02
   8.9680000e-01   9.1020000e-01   4.1063858e+18   4.1063858e+02
   8.9720000e-01   9.0740000e-01   4.0955794e+18   4.0955794e+02
   8.9760000e-01   9.0210000e-01   4.0734730e+18   4.0734730e+02
   8.9800000e-01   9.0940000e-01   4.1082664e+18   4.1082664e+02
   8.9840000e-01   9.0730000e-01   4.1006053e+18   4.1006053e+02
   8.9880000e-01   9.1200000e-01   4.1236825e+18   4.1236825e+02
   8.9920000e-01   9.0980000e-01   4.1155658e+18   4.1155658e+02
   8.9960000e-01   9.0510000e-01   4.0961262e+18   4.0961262e+02
   9.0000000e-01   8.8960000e-01   4.0277694e+18   4.0277694e+02
   9.0040000e-01   8.8840000e-01   4.0241240e+18   4.0241240e+02
   9.0080000e-01   8.7760000e-01   3.9769699e+18   3.9769699e+02
   9.0120000e-01   8.6470000e-01   3.9202517e+18   3.9202517e+02
   9.0160000e-01   8.4380000e-01   3.8271963e+18   3.8271963e+02
   9.0200000e-01   8.4680000e-01   3.8425073e+18   3.8425073e+02
   9.0250000e-01   8.6570000e-01   3.9304470e+18   3.9304470e+02
   9.0290000e-01   8.8460000e-01   4.0180367e+18   4.0180367e+02
   9.0330000e-01   8.9520000e-01   4.0679855e+18   4.0679855e+02
   9.0370000e-01   9.0140000e-01   4.0979735e+18   4.0979735e+02
   9.0410000e-01   9.0450000e-01   4.1138870e+18   4.1138870e+02
   9.0450000e-01   9.0670000e-01   4.1257176e+18   4.1257176e+02
   9.0490000e-01   9.0650000e-01   4.1266317e+18   4.1266317e+02
   9.0530000e-01   9.0430000e-01   4.1184364e+18   4.1184364e+02
   9.0570000e-01   9.0210000e-01   4.1102323e+18   4.1102323e+02
   9.0610000e-01   8.8530000e-01   4.0354680e+18   4.0354680e+02
   9.0650000e-01   8.8110000e-01   4.0180961e+18   4.0180961e+02
   9.0700000e-01   8.8050000e-01   4.0175747e+18   4.0175747e+02
   9.0740000e-01   8.9440000e-01   4.0827979e+18   4.0827979e+02
   9.0780000e-01   8.8560000e-01   4.0444093e+18   4.0444093e+02
   9.0820000e-01   8.7910000e-01   4.0164937e+18   4.0164937e+02
   9.0860000e-01   8.7070000e-01   3.9798673e+18   3.9798673e+02
   9.0900000e-01   8.6100000e-01   3.9372623e+18   3.9372623e+02
   9.0940000e-01   8.5420000e-01   3.9078855e+18   3.9078855e+02
   9.0980000e-01   8.5740000e-01   3.9242505e+18   3.9242505e+02
   9.1030000e-01   8.7170000e-01   3.9918931e+18   3.9918931e+02
   9.1070000e-01   8.7760000e-01   4.0206777e+18   4.0206777e+02
   9.1110000e-01   8.7410000e-01   4.0064016e+18   4.0064016e+02
   9.1150000e-01   8.6820000e-01   3.9811062e+18   3.9811062e+02
   9.1190000e-01   8.5840000e-01   3.9378960e+18   3.9378960e+02
   9.1230000e-01   8.6870000e-01   3.9868951e+18   3.9868951e+02
   9.1270000e-01   8.7740000e-01   4.0285893e+18   4.0285893e+02
   9.1320000e-01   8.8980000e-01   4.0877621e+18   4.0877621e+02
   9.1360000e-01   8.8910000e-01   4.0863354e+18   4.0863354e+02
   9.1400000e-01   8.8580000e-01   4.0729510e+18   4.0729510e+02
   9.1440000e-01   8.7930000e-01   4.0448331e+18   4.0448331e+02
   9.1480000e-01   8.6870000e-01   3.9978205e+18   3.9978205e+02
   9.1530000e-01   8.6850000e-01   3.9990847e+18   3.9990847e+02
   9.1570000e-01   8.7330000e-01   4.0229440e+18   4.0229440e+02
   9.1610000e-01   8.7830000e-01   4.0477444e+18   4.0477444e+02
   9.1650000e-01   8.7390000e-01   4.0292250e+18   4.0292250e+02
   9.1690000e-01   8.6950000e-01   4.0106879e+18   4.0106879e+02
   9.1740000e-01   8.6130000e-01   3.9750308e+18   3.9750308e+02
   9.1780000e-01   8.6020000e-01   3.9716851e+18   3.9716851e+02
   9.1820000e-01   8.6290000e-01   3.9858878e+18   3.9858878e+02
   9.1860000e-01   8.6990000e-01   4.0199725e+18   4.0199725e+02
   9.1900000e-01   8.7080000e-01   4.0258839e+18   4.0258839e+02
   9.1950000e-01   8.7020000e-01   4.0252988e+18   4.0252988e+02
   9.1990000e-01   8.6610000e-01   4.0080762e+18   4.0080762e+02
   9.2030000e-01   8.6080000e-01   3.9852814e+18   3.9852814e+02
   9.2070000e-01   8.5460000e-01   3.9582967e+18   3.9582967e+02
   9.2120000e-01   8.4270000e-01   3.9052985e+18   3.9052985e+02
   9.2160000e-01   8.3330000e-01   3.8634132e+18   3.8634132e+02
   9.2200000e-01   8.3390000e-01   3.8678730e+18   3.8678730e+02
   9.2240000e-01   8.3980000e-01   3.8969289e+18   3.8969289e+02
   9.2290000e-01   8.2160000e-01   3.8145419e+18   3.8145419e+02
   9.2330000e-01   8.0730000e-01   3.7497741e+18   3.7497741e+02
   9.2370000e-01   8.1290000e-01   3.7774209e+18   3.7774209e+02
   9.2410000e-01   8.3460000e-01   3.8799369e+18   3.8799369e+02
   9.2460000e-01   8.3850000e-01   3.9001766e+18   3.9001766e+02
   9.2500000e-01   8.4350000e-01   3.9251308e+18   3.9251308e+02
   9.2540000e-01   8.3850000e-01   3.9035512e+18   3.9035512e+02
   9.2580000e-01   8.2580000e-01   3.8460893e+18   3.8460893e+02
   9.2630000e-01   8.1960000e-01   3.8192750e+18   3.8192750e+02
   9.2670000e-01   8.3330000e-01   3.8847928e+18   3.8847928e+02
   9.2710000e-01   8.4860000e-01   3.9578281e+18   3.9578281e+02
   9.2760000e-01   8.5540000e-01   3.9916945e+18   3.9916945e+02
   9.2800000e-01   8.5570000e-01   3.9948164e+18   3.9948164e+02
   9.2840000e-01   8.5550000e-01   3.9956042e+18   3.9956042e+02
   9.2890000e-01   8.4930000e-01   3.9687834e+18   3.9687834e+02
   9.2930000e-01   8.4380000e-01   3.9447799e+18   3.9447799e+02
   9.2970000e-01   8.3960000e-01   3.9268343e+18   3.9268343e+02
   9.3020000e-01   8.4490000e-01   3.9537478e+18   3.9537478e+02
   9.3060000e-01   8.4820000e-01   3.9708971e+18   3.9708971e+02
   9.3100000e-01   8.4930000e-01   3.9777558e+18   3.9777558e+02
   9.3150000e-01   8.4720000e-01   3.9700513e+18   3.9700513e+02
   9.3190000e-01   8.4300000e-01   3.9520661e+18   3.9520661e+02
   9.3230000e-01   8.4210000e-01   3.9495414e+18   3.9495414e+02
   9.3280000e-01   8.4290000e-01   3.9554136e+18   3.9554136e+02
   9.3320000e-01   8.4620000e-01   3.9726021e+18   3.9726021e+02
   9.3360000e-01   8.4510000e-01   3.9691385e+18   3.9691385e+02
   9.3410000e-01   8.4530000e-01   3.9722041e+18   3.9722041e+02
   9.3450000e-01   8.4380000e-01   3.9668533e+18   3.9668533e+02
   9.3490000e-01   8.3860000e-01   3.9440947e+18   3.9440947e+02
   9.3540000e-01   8.3390000e-01   3.9240872e+18   3.9240872e+02
   9.3580000e-01   8.3010000e-01   3.9078759e+18   3.9078759e+02
   9.3620000e-01   8.2810000e-01   3.9001269e+18   3.9001269e+02
   9.3670000e-01   8.3060000e-01   3.9139904e+18   3.9139904e+02
   9.3710000e-01   8.3530000e-01   3.9378188e+18   3.9378188e+02
   9.3760000e-01   8.3550000e-01   3.9408633e+18   3.9408633e+02
   9.3800000e-01   8.3440000e-01   3.9373539e+18   3.9373539e+02
   9.3840000e-01   8.3580000e-01   3.9456420e+18   3.9456420e+02
   9.3890000e-01   8.3220000e-01   3.9307404e+18   3.9307404e+02
   9.3930000e-01   8.2860000e-01   3.9154039e+18   3.9154039e+02
   9.3980000e-01   8.2780000e-01   3.9137058e+18   3.9137058e+02
   9.4020000e-01   8.2480000e-01   3.9011820e+18   3.9011820e+02
   9.4070000e-01   8.1340000e-01   3.8493077e+18   3.8493077e+02
   9.4110000e-01   8.0220000e-01   3.7979194e+18   3.7979194e+02
   9.4150000e-01   7.8120000e-01   3.7000694e+18   3.7000694e+02
   9.4200000e-01   7.8530000e-01   3.7214639e+18   3.7214639e+02
   9.4240000e-01   8.0460000e-01   3.8145439e+18   3.8145439e+02
   9.4290000e-01   8.2400000e-01   3.9085904e+18   3.9085904e+02
   9.4330000e-01   8.1920000e-01   3.8874704e+18   3.8874704e+02
   9.4380000e-01   8.0760000e-01   3.8344546e+18   3.8344546e+02
   9.4420000e-01   8.0400000e-01   3.8189798e+18   3.8189798e+02
   9.4460000e-01   8.0400000e-01   3.8205976e+18   3.8205976e+02
   9.4510000e-01   8.1130000e-01   3.8573278e+18   3.8573278e+02
   9.4550000e-01   8.1220000e-01   3.8632413e+18   3.8632413e+02
   9.4600000e-01   8.1690000e-01   3.8876517e+18   3.8876517e+02
   9.4640000e-01   8.1440000e-01   3.8773929e+18   3.8773929e+02
   9.4690000e-01   8.1560000e-01   3.8851577e+18   3.8851577e+02
   9.4730000e-01   8.1660000e-01   3.8915644e+18   3.8915644e+02
   9.4780000e-01   8.1850000e-01   3.9026778e+18   3.9026778e+02
   9.4820000e-01   8.1810000e-01   3.9024168e+18   3.9024168e+02
   9.4870000e-01   8.1720000e-01   3.9001793e+18   3.9001793e+02
   9.4910000e-01   8.1780000e-01   3.9046885e+18   3.9046885e+02
   9.4960000e-01   8.1640000e-01   3.9000576e+18   3.9000576e+02
   9.5000000e-01   8.1600000e-01   3.8997887e+18   3.8997887e+02
   9.5050000e-01   8.1010000e-01   3.8736294e+18   3.8736294e+02
